상위 모듈,하위 모듈,Method,URL,용도,필요 데이터(쿼리),상태
예시 모듈,예시 모듈,POST,https://localhost/api/v1/example,예시,"user_id: 정수형, level: 정수형, context: 문자열",진행 중
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/auth/login,로그인,,대기
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/auth/refresh,토큰 갱신,,대기
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/auth/logout,로그아웃/토큰 블랙리스트,,대기
공통(인증/유저/헬스),-,GET,https://localhost/api/v1/health,헬스 체크,,대기
공통(인증/유저/헬스),-,GET,https://localhost/api/v1/me,내 프로필 조회,,대기
공통(인증/유저/헬스),-,POST,https://localhost/api/v1/me,내 프로필 수정,,대기
공통(인증/유저/헬스),-,GET,https://localhost/api/v1/config,"앱/에이전트 공통 설정 로드(버전, 플래그 등)",,대기
Desktop_Backend,Projects/Jobs,GET,https://localhost/api/v1/projects,프로젝트 목록 조회(코드 생성 대상 선택),,대기
Desktop_Backend,Projects/Jobs,POST,https://localhost/api/v1/projects/{project_id}/jobs,프로젝트에 대한 작업(Job) 생성(코드 생성 요청),,대기
Desktop_Backend,Projects/Jobs,GET,https://localhost/api/v1/projects/{project_id}/jobs/{job_id},작업(Job) 상세/진행 상태 조회(요약 코드 확인),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/request,에이전트가 할당 가능한 작업 요청(작업 풀링),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/{job_id}/start,작업 시작 알림(락 획득),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/{job_id}/progress,진행 로그/중간 산출물 업로드,,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/jobs/{job_id}/complete,"작업 완료 보고(결과물, 요약)",,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/callbacks/tool,도구 호출/결과 콜백(트레이스),,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/telemetry,토큰 사용량/지연시간/에러 메트릭 전송,,대기
Desktop_Backend,LangGraph Agent (작업/콜백/로그),POST,https://localhost/api/v1/agent/heartbeat,에이전트 하트비트(상태/버전 보고),,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/projects/register,프로젝트 등록(로컬 경로/리모트 URL 메타),,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/{project_id}/scan,"파일/폴더 트리, 언어/LOC, 복잡도 지표 업로드",,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/{project_id}/issues,"정적 분석 결과(린트/보안, 규칙) 업로드",,대기
Desktop_Backend,Git Analyzer (레포 구조/지표),POST,https://localhost/api/v1/git/{project_id}/readme,생성/갱신된 README 초안 업로드,,대기
Desktop_Backend,Git Commit Module (커밋/패치/아티팩트),POST,https://localhost/api/v1/git/{project_id}/commits,커밋 메타데이터/메시지 보고,,대기
